Prompt,Intent,domain
Which pharmacy has dispensed the most claims for the member with claim 201533994612000?,Pharmacy,claim_history_search
Which doctor wrote the most prescriptions for the member with claim 201533994612000?,Prescriber,claim_history_search
Which claims are currently reversed for the member with claim 201533994612000?,Status,claim_history_search
Show all claims that hit reject 79 for the member with claim 201533994612000.,RejectCode,claim_history_search
Find this claim: 201533994612000.,ClaimNum,claim_history_search
Look up 201533994612000.,ClaimNum,claim_history_search
Search for claim 201533994612000 in the history.,ClaimNum,claim_history_search
Hi â€” I need some help with a claim.,help,general
What kind of questions can I ask this system?,help,general
How do I use this tool to look up claims?,help,general
I need guidance on how to query member information.,help,general
Can you walk me through the claim lookup process?,help,general
What types of queries does this system support?,help,general
How does this tool work?,help,general
What are the available commands or categories?,help,general
Help me understand what I can do here.,help,general
Calculate 15% tip on a $42 bill.,out_of_scope,general
Give me a quick rundown of what happened to claim 201533994612000 seq 004.,claim_status,cap_api
Can you give me a summary of all claims on file for claim 201533994612000 seq 004 member?,multi_claim_summary,cap_api
I need a complete overview of every claim submitted under this member ID — claim 201533994612000 seq 004.,multi_claim_summary,cap_api
Show me all the claims this member has had processed — claim 201533994612000 seq 004.,multi_claim_summary,cap_api
Full claims history overview for claim 201533994612000 seq 004 member please.,multi_claim_summary,cap_api
How many total claims does this member have and what are they on claim 201533994612000 seq 004?,multi_claim_summary,cap_api
List every claim associated with the member with claim 201533994612000 seq 004.,multi_claim_summary,cap_api
Was the pharmacy paid MAC or AWP on claim 201533994612000 seq 004?,reimbursement_info,cap_api
What NCPDP rejection codes were returned on claim 201533994612000 seq 004?,rejection_reasons,cap_api
How many days supply was dispensed on claim 201533994612000 seq 004?,rx_details,cap_api
Drug strength and dosage form on claim 201533994612000 seq 004.,drug_info,cap_api
Did another insurance pay before this plan on claim 201533994612000 seq 004?,cob_info,cap_api
Does a formulary alternative exist for claim 201533994612000 seq 004 medication?,generic_availability,cap_api
What generic equivalents are on the formulary on claim 201533994612000 seq 004?,generic_availability,cap_api
Tell me the program classification for claim 201533994612000 seq 004 claim.,government_claim_type,cap_api
What program type was claim 201533994612000 seq 004 processed under?,government_claim_type,cap_api
Is this a home delivery or retail fill on claim 201533994612000 seq 004?,mail_order_info,cap_api
Is this a mail-order pharmacy fill or a walk-in on claim 201533994612000 seq 004?,mail_order_info,cap_api
Did this come from a mail service pharmacy on claim 201533994612000 seq 004?,mail_order_info,cap_api
Was this filled at a mail-service or specialty pharmacy on claim 201533994612000 seq 004?,mail_order_info,cap_api
What is the LICS tier pricing on claim 201533994612000 seq 004 specific claim?,pricing_info,cap_api
CMS pricing fields on claim 201533994612000 seq 004.,pricing_info,cap_api
Was the catastrophic coverage phase reached on claim 201533994612000 seq 004?,medicare_part_d,cap_api
Is there a Smart PA attached to claim 201533994612000 seq 004?,prior_auth_info,cap_api
Was a member PA or plan PA used on claim 201533994612000 seq 004?,prior_auth_info,cap_api
What authorization was checked when processing claim 201533994612000 seq 004?,prior_auth_info,cap_api
Compound drug ingredient list and costs across claims — claim 201533994612000 seq 004.,compound_info,cap_api
Dispensing dates for all prescriptions on file — claim 201533994612000 seq 004.,fill_date_info,cap_api
Fill date timeline for claim 201533994612000 seq 004 member's prescriptions.,fill_date_info,cap_api
Are there any prescriptions eligible for refill for the member with claim 201533994612000?,Refills,claim_history_search
Filter by response code 400 across all fills for the member with claim 201533994612000.,Settlement,claim_history_search
Pull claims by adjudication status for the member with claim 201533994612000.,Status,claim_history_search
Pull up claim 201533994612000.,ClaimNum,claim_history_search
I need to know if Smart PA or Member PA was applied during approval of claim 201533994612000 sequence 004.,approval_info,cap_api
"Generate a TF summary for claim 201533994612000 sequence 004, specifically the transition fill type and whether accumulations were considered.",approval_info,cap_api
Did claim 201533994612000 seq 004 go through a Smart PA approval? Show me the override logic.,approval_info,cap_api
Was a member PA or plan PA applied to claim 201533994612000 sequence 004 during adjudication?,approval_info,cap_api
Display the BPG override and Smart PA configuration used on claim 201533994612000 sequence 004.,approval_info,cap_api
Show the beneficiary accumulation totals and coverage tier for claim 201533994612000 seq 004.,beneficiary_info,cap_api
Benefit phase and LOE linkage for claim 201533994612000 sequence 004 — show the full beneficiary details.,beneficiary_info,cap_api
Provide the accumulator totals and benefit phase progression for claim 201533994612000 seq 004.,beneficiary_info,cap_api
Display the accumulator summary and benefit phase for claim 201533994612000 seq 004.,beneficiary_info,cap_api
Retrieve the benefit eligibility and phase information for the member on claim 201533994612000 sequence 004.,beneficiary_info,cap_api
Show benefit phase and linked levels of evidence for claim 201533994612000 seq 004.,beneficiary_info,cap_api
What is the member's TrOOP and benefit accumulation status for claim 201533994612000 seq 004?,beneficiary_info,cap_api
"Generate the beneficiary coverage summary including benefit phase, LOE, and accumulator totals for claim 201533994612000 sequence 004.",beneficiary_info,cap_api
"What is the overall adjudication status of claim 201533994612000 sequence 004 — paid, rejected, or pending?",claim_status,cap_api
Provide a full claim summary for claim 201533994612000 seq 004.,claim_status,cap_api
What happened on claim 201533994612000 seq 004? I need the complete claim record.,claim_status,cap_api
Claim status for 201533994612000 seq 004 — was it paid or rejected?,claim_status,cap_api
Retrieve the comprehensive summary and adjudication outcome for claim 201533994612000 sequence 004.,claim_status,cap_api
Tell me everything that happened on claim 201533994612000 seq 004.,claim_status,cap_api
Display the full adjudication details and status for claim 201533994612000 sequence 004.,claim_status,cap_api
I need a breakdown of claim 201533994612000 sequence 004 — what is its current state?,claim_status,cap_api
Show claim summary for 201533994612000 seq 004.,claim_status,cap_api
"General claim summary for 201533994612000 seq 004 — paid, reversed, or something else?",claim_status,cap_api
Show the status update and processing result for claim 201533994612000 sequence 004.,claim_status,cap_api
Generate a comprehensive status report for claim 201533994612000 seq 004.,claim_status,cap_api
Give me the complete adjudication details and overall status summary for claim 201533994612000 seq 004.,claim_status,cap_api
How did another insurer affect the pricing on claim 201533994612000 seq 004?,cob_info,cap_api
Show me the MIC ingredient costs on claim 201533994612000 seq 004,compound_info,cap_api
What were the funded ingredient costs versus the unfunded ones on claim 201533994612000 sequence 004?,compound_info,cap_api
MIC breakdown for claim 201533994612000 seq 004 — how much was covered per ingredient?,compound_info,cap_api
Provide the compounded drug formulation and ingredient-level pricing for claim 201533994612000 sequence 004,compound_info,cap_api
I want to understand the ingredient cost split on that compound claim — 201533994612000 seq 004,compound_info,cap_api
Which of the ingredients in claim 201533994612000 seq 004 were not covered by the benefit?,compound_info,cap_api
Detail the compounded formulation submitted under claim 201533994612000 sequence 004 — including each active ingredient and its cost,compound_info,cap_api
I need the MIC data for every ingredient on claim 201533994612000 seq 004,compound_info,cap_api
Compound claim 201533994612000 seq 004 — give me the full ingredient breakdown with costs,compound_info,cap_api
I see claim 201533994612000 seq 004 is flagged as a compound. What are the ingredient details and their individual costs?,compound_info,cap_api
I need to know whether the prescriber required brand-name dispensing on claim 201533994612000 sequence 004,daw_info,cap_api
"On claim 201533994612000 sequence 004, was the brand drug dispensed because the physician mandated it or the member requested it?",daw_info,cap_api
Explain why a brand drug was dispensed instead of generic for claim 201533994612000 seq 004,daw_info,cap_api
"I need the dispense-as-written detail for claim 201533994612000 seq 004, including whether it was physician-initiated or patient-requested",daw_info,cap_api
Give me the NDC for claim 201533994612000 seq 004,drug_info,cap_api
drug info claim 201533994612000 sequence 004,drug_info,cap_api
What's the GPI code on claim 201533994612000 sequence 004?,drug_info,cap_api
NDC and formulary tier for claim 201533994612000 seq 004?,drug_info,cap_api
What drug was used in claim 201533994612000 seq 004 and is it considered a specialty medication?,drug_info,cap_api
What date was claim 201533994612000 sequence 004 filled?,fill_date_info,cap_api
Give me the service date for claim 201533994612000 seq 004,fill_date_info,cap_api
On what date was claim 201533994612000 seq 004 adjudicated at the pharmacy?,fill_date_info,cap_api
What is the prescription fill date shown on claim 201533994612000 seq 004?,fill_date_info,cap_api
Dispensing date for claim 201533994612000 sequence 004?,fill_date_info,cap_api
Retrieve the fill date and service date for claim 201533994612000 seq 004,fill_date_info,cap_api
When exactly was claim 201533994612000 sequence 004 filled at the pharmacy — I need the exact date,fill_date_info,cap_api
What date of service is recorded for claim 201533994612000 seq 004?,fill_date_info,cap_api
I need to know the dispensing date on claim 201533994612000 seq 004 to verify timeline,fill_date_info,cap_api
What was the date claim 201533994612000 seq 004 was processed and dispensed?,fill_date_info,cap_api
Service date / fill date for claim 201533994612000 seq 004 please,fill_date_info,cap_api
"On claim 201533994612000 sequence 004, I need to verify the prescription fill date for coordination of benefits purposes",fill_date_info,cap_api
Confirm the dispensing date and date of service on claim 201533994612000 seq 004,fill_date_info,cap_api
Are there any generic alternatives available for the drug on claim 201533994612000 sequence 004?,generic_availability,cap_api
What therapeutic equivalents exist for the medication billed under claim 201533994612000 seq 004?,generic_availability,cap_api
I need to know if a formulary-approved substitute is available for claim 201533994612000 sequence 004,generic_availability,cap_api
Generic sub options for NDC on claim 201533994612000 seq 004?,generic_availability,cap_api
Can you tell me whether the drug dispensed on claim 201533994612000 seq 004 has a generic equivalent covered under the formulary?,generic_availability,cap_api
Is the brand drug on claim 201533994612000 sequence 004 substitutable with a lower-cost generic?,generic_availability,cap_api
DAW code and generic availability — claim 201533994612000 sequence 004,generic_availability,cap_api
Pull up any approved formulary substitutes for the medication in claim 201533994612000 seq 004,generic_availability,cap_api
Is claim 201533994612000 sequence 004 dispensed as a brand when a generic is on formulary?,generic_availability,cap_api
Therapeutic equivalent availability for the NDC on claim 201533994612000 seq 004,generic_availability,cap_api
What is the generic status of the drug on claim 201533994612000 seq 004 — multi-source or single-source brand?,generic_availability,cap_api
Is there a formulary-preferred generic that could replace the brand drug billed on claim 201533994612000 sequence 004?,generic_availability,cap_api
Are generic options or therapeutic interchanges listed for claim 201533994612000 sequence 004?,generic_availability,cap_api
I want to check DAW and generic availability flags for claim 201533994612000 sequence 004,generic_availability,cap_api
Lookup: does the drug on claim 201533994612000 seq 004 have a BPG or generic interchange?,generic_availability,cap_api
Confirm whether a covered generic substitute exists for the product on claim 201533994612000 seq 004,generic_availability,cap_api
Show me the generic availability information tied to claim 201533994612000 sequence 004 — brand vs generic status and any alternatives on formulary,generic_availability,cap_api
Is this claim Part D or Medicaid — claim 201533994612000 sequence 004?,government_claim_type,cap_api
I need to know if claim 201533994612000 seq 004 is a Medicare Part D claim or a commercial claim,government_claim_type,cap_api
The patient mentions Medicare coverage — is claim 201533994612000 seq 004 a Part D or Part B claim?,government_claim_type,cap_api
PDE government claim type lookup for claim 201533994612000 sequence 004,government_claim_type,cap_api
Was claim 201533994612000 sequence 004 filled at a mail order pharmacy or retail?,mail_order_info,cap_api
What delivery channel was used for claim 201533994612000 sequence 004 — mail or retail?,mail_order_info,cap_api
Mail order or retail? Claim 201533994612000 seq 004,mail_order_info,cap_api
Provide the dispensing channel information for claim 201533994612000 sequence 004,mail_order_info,cap_api
Check if claim 201533994612000 sequence 004 is flagged as a mail service or specialty mail claim,mail_order_info,cap_api
Dispensing channel and NCPDP pharmacy type for claim 201533994612000 seq 004,mail_order_info,cap_api
"Show the pharmacy dispensing type for claim 201533994612000 sequence 004 — retail, mail, or specialty",mail_order_info,cap_api
The member says they received this by mail — verify the delivery channel on claim 201533994612000 seq 004,mail_order_info,cap_api
Mail order indicator on claim 201533994612000 sequence 004?,mail_order_info,cap_api
Is claim 201533994612000 seq 004 associated with a home delivery or a walk-in pharmacy fill?,mail_order_info,cap_api
Retrieve mail service status and shipping information for claim 201533994612000 sequence 004,mail_order_info,cap_api
Was claim 201533994612000 seq 004 filled through the specialty mail channel or a retail outlet?,mail_order_info,cap_api
I want to confirm the dispensing method — mail vs retail — for claim 201533994612000 seq 004,mail_order_info,cap_api
What NCPDP pharmacy type and dispensing channel are on claim 201533994612000 sequence 004?,mail_order_info,cap_api
MEDD pricing and LICS tier for claim 201533994612000 sequence 004,medicare_part_d,cap_api
N1 amounts on claim 201533994612000 seq 004?,medicare_part_d,cap_api
What is the LICS level applied to claim 201533994612000 seq 004?,medicare_part_d,cap_api
Is claim 201533994612000 seq 004 in the coverage gap phase or catastrophic phase under Part D?,medicare_part_d,cap_api
Part D low-income cost-sharing subsidy applied to claim 201533994612000 sequence 004?,medicare_part_d,cap_api
Confirm the Medicare Part D N1 patient pay amount on claim 201533994612000 seq 004,medicare_part_d,cap_api
How many total claims has this member submitted in the last 12 months on claim 201533994612000 seq 004?,multi_claim_summary,cap_api
Give me a summary of all prescriptions filled by the member with claim 201533994612000 seq 004 this year,multi_claim_summary,cap_api
Pull every claim on file for the member with claim 201533994612000 seq 004 and summarize the total cost,multi_claim_summary,cap_api
What is the total number of claims and overall spend for claim 201533994612000 seq 004 member across all their prescriptions?,multi_claim_summary,cap_api
I need a multi-claim summary — all fills for the member with claim 201533994612000 seq 004 from January through June,multi_claim_summary,cap_api
"Summarize the entire claim history for claim 201533994612000 seq 004 member, including all drugs, dates, and costs",multi_claim_summary,cap_api
How many claims did the member with claim 201533994612000 seq 004 have this quarter and what was the total member pay?,multi_claim_summary,cap_api
"Show all prescription claims on record for claim 201533994612000 seq 004 member — not a single claim, the whole list",multi_claim_summary,cap_api
Full claim count and summary for the member with claim 201533994612000 seq 004 over the past six months,multi_claim_summary,cap_api
Can you aggregate all claims for claim 201533994612000 seq 004 member and show me the breakdown by drug?,multi_claim_summary,cap_api
Retrieve the complete claims list for the member with claim 201533994612000 seq 004 and tell me the most recent fills,multi_claim_summary,cap_api
"Member's entire claim history — all claims, not just one — for the current benefit year — claim 201533994612000 seq 004",multi_claim_summary,cap_api
How many pharmacy claims does this member have on file and what do they total in cost on claim 201533994612000 seq 004?,multi_claim_summary,cap_api
Give me an overview of all claims submitted for the member with claim 201533994612000 seq 004 since plan inception,multi_claim_summary,cap_api
What is the total claim volume for the member with claim 201533994612000 seq 004 and which drugs appear most frequently?,multi_claim_summary,cap_api
Pull all claims for claim 201533994612000 seq 004 member and give me a summary of their prescription utilization pattern over the past year,multi_claim_summary,cap_api
"For claim 201533994612000 seq 004, tell me which CVS network tier the dispensing pharmacy fell under.",network_info,cap_api
Was claim 201533994612000 sequence 004 routed through a retail network or a specialty pharmacy network?,network_info,cap_api
What pharmacy dispensed claim 201533994612000 sequence 004?,pharmacy_info,cap_api
I need the store address and name of the pharmacy that filled claim 201533994612000 sequence 004.,pharmacy_info,cap_api
Pharmacy name? Claim 201533994612000 seq 004.,pharmacy_info,cap_api
"Retrieve the dispensing pharmacy details — NCPDP, store number, and location — for claim 201533994612000 sequence 004.",pharmacy_info,cap_api
Which CVS store filled the prescription on claim 201533994612000 seq 004 and what is its address?,pharmacy_info,cap_api
"Give me the filling pharmacy information for claim 201533994612000 seq 004, including chain name and ZIP code.",pharmacy_info,cap_api
Display the dispensing location that processed claim 201533994612000 seq 004 — was it a retail store or mail-order facility?,pharmacy_info,cap_api
Fetch the pharmacy name and chain code recorded on claim 201533994612000 sequence 004.,pharmacy_info,cap_api
Show me the pharmacy NPI and NCPDP provider ID attached to claim 201533994612000 seq 004.,pharmacy_info,cap_api
I'd like to know which pharmacy dispensed the medication on claim 201533994612000 sequence 004 and whether it's a specialty pharmacy.,pharmacy_info,cap_api
Where was claim 201533994612000 sequence 004 filled — give me the complete pharmacy address.,pharmacy_info,cap_api
Can you look up the pharmacy store information tied to claim 201533994612000 sequence 004? I need the NCPDP and street address.,pharmacy_info,cap_api
Which pharmacy chain and store number appears on claim 201533994612000 seq 004?,pharmacy_info,cap_api
"For claim 201533994612000 seq 004, I need to verify which pharmacy location processed the fill — provide the full store details.",pharmacy_info,cap_api
Provide the NPI number of the prescribing physician on claim 201533994612000 seq 004.,prescriber_info,cap_api
I need the doctor's name and credentials who wrote the script for claim 201533994612000 sequence 004.,prescriber_info,cap_api
Prescriber NPI? Claim 201533994612000 seq 004.,prescriber_info,cap_api
"Retrieve the ordering provider details — name, NPI, and DEA — for claim 201533994612000 sequence 004.",prescriber_info,cap_api
Tell me which physician wrote the prescription on claim 201533994612000 seq 004 and what their specialty is.,prescriber_info,cap_api
"Display the prescriber information recorded on claim 201533994612000 sequence 004, including the doctor's address.",prescriber_info,cap_api
Give me the prescribing provider's NPI and full name from claim 201533994612000 seq 004.,prescriber_info,cap_api
Who wrote the Rx for claim 201533994612000 sequence 004?,prescriber_info,cap_api
"Show me the ordering provider's NPI, name, and license type on claim 201533994612000 sequence 004.",prescriber_info,cap_api
I want to verify which doctor ordered the medication on claim 201533994612000 seq 004 — please include their NPI.,prescriber_info,cap_api
"Generate a prescriber summary for claim 201533994612000 sequence 004, including name, NPI, and prescriber type.",prescriber_info,cap_api
Prescriber name and DEA on claim 201533994612000 seq 004.,prescriber_info,cap_api
What are the provider credentials for the physician who prescribed the drug on claim 201533994612000 sequence 004?,prescriber_info,cap_api
Pull the prescriber NPI and mailing address from the claim record for 201533994612000 seq 004.,prescriber_info,cap_api
Show the prescribing physician recorded on claim 201533994612000 seq 004 — is it a MD or DO?,prescriber_info,cap_api
"Retrieve ordering provider information, including NPI and practice address, for claim 201533994612000 sequence 004.",prescriber_info,cap_api
Which provider NPI is on claim 201533994612000 seq 004 and what is that prescriber's name?,prescriber_info,cap_api
Provide the ingredient cost and dispensing fee breakdown for claim 201533994612000 seq 004.,pricing_info,cap_api
I need the copay and total cost details for claim 201533994612000 sequence 004.,pricing_info,cap_api
Copay amount? Claim 201533994612000 seq 004.,pricing_info,cap_api
Retrieve the pricing schedule and final out-of-pocket amount on claim 201533994612000 sequence 004.,pricing_info,cap_api
"Show me the full pricing breakdown — AWP, ingredient cost, dispensing fee, and member liability — for claim 201533994612000 seq 004.",pricing_info,cap_api
Display the co-pay modifier and its effect on the patient-pay amount for claim 201533994612000 sequence 004.,pricing_info,cap_api
Give me the total charge and what the member owed on claim 201533994612000 seq 004.,pricing_info,cap_api
"How much did the member pay for claim 201533994612000 sequence 004, including any coinsurance?",pricing_info,cap_api
Fetch the MAC pricing or U&C price applied on claim 201533994612000 seq 004 and the final patient contribution.,pricing_info,cap_api
What pricing schedule was used for claim 201533994612000 sequence 004 and what was the resulting member cost-share?,pricing_info,cap_api
"Ingredient cost, dispensing fee, and member pay for claim 201533994612000 seq 004.",pricing_info,cap_api
"I want a complete pricing summary for claim 201533994612000 sequence 004, including plan-paid amount and patient responsibility.",pricing_info,cap_api
"Generate a cost breakdown for claim 201533994612000 seq 004 — show ingredient cost, dispensing fee, and OOP.",pricing_info,cap_api
Show the negotiated price and the split between plan and member for claim 201533994612000 seq 004.,pricing_info,cap_api
"Retrieve the BPG-driven pricing components on claim 201533994612000 sequence 004 — I need ingredient cost, fees, and copay.",pricing_info,cap_api
"Display the full pricing detail including plan-paid, patient-paid, and dispensing fee for claim 201533994612000 seq 004.",pricing_info,cap_api
Was prior authorization required for claim 201533994612000 sequence 004?,prior_auth_info,cap_api
Provide the PA number and approval status recorded on claim 201533994612000 seq 004.,prior_auth_info,cap_api
I need to know what type of prior auth was attached to claim 201533994612000 sequence 004 — Smart PA or Member PA?,prior_auth_info,cap_api
PA status? Claim 201533994612000 seq 004.,prior_auth_info,cap_api
"Retrieve the prior authorization details — PA number, type, and approved/denied status — for claim 201533994612000 sequence 004.",prior_auth_info,cap_api
Show whether Smart PA was applied on claim 201533994612000 seq 004 and what the authorization outcome was.,prior_auth_info,cap_api
Display the Member PA information embedded in claim 201533994612000 sequence 004.,prior_auth_info,cap_api
"Give me the prior auth fields from claim 201533994612000 seq 004, including the PA reference number.",prior_auth_info,cap_api
Is the PA on claim 201533994612000 sequence 004 showing approved or denied?,prior_auth_info,cap_api
Fetch the authorization type and PA number from claim 201533994612000 seq 004.,prior_auth_info,cap_api
What authorization was checked when claim 201533994612000 sequence 004 was processed — was a PA on file?,prior_auth_info,cap_api
PA details for claim 201533994612000 seq 004.,prior_auth_info,cap_api
"I want to verify whether a prior authorization was present on claim 201533994612000 sequence 004 and if so, whether it was a plan PA or member PA.",prior_auth_info,cap_api
"Generate the prior authorization report for claim 201533994612000 seq 004, including auth number, effective dates, and approval status.",prior_auth_info,cap_api
What PA type is recorded on claim 201533994612000 sequence 004 and was it approved prior to dispensing?,prior_auth_info,cap_api
Pull prior auth status and number for claim 201533994612000 seq 004.,prior_auth_info,cap_api
"For claim 201533994612000 sequence 004, did a Smart PA override or a Member PA govern the adjudication, and what was the result?",prior_auth_info,cap_api
Show the PA fields on claim 201533994612000 seq 004 — specifically the authorization type code and denial reason if applicable.,prior_auth_info,cap_api
Retrieve prior authorization status and approval details for claim 201533994612000 sequence 004.,prior_auth_info,cap_api
"Was a member PA or plan PA used on claim 201533994612000 seq 004, and is the PA currently active?",prior_auth_info,cap_api
Provide the pharmacy payment rationale for claim 201533994612000 sequence 004.,reimbursement_info,cap_api
How was the ingredient cost reimbursement calculated for claim 201533994612000 seq 004?,reimbursement_info,cap_api
Give me the net payment to the pharmacy after all adjustments on claim 201533994612000 seq 004.,reimbursement_info,cap_api
Show the plan's reimbursement formula output for claim 201533994612000 seq 004 specific prescription claim.,reimbursement_info,cap_api
What was the U&C versus the reimbursed amount for the pharmacy on claim 201533994612000 seq 004?,reimbursement_info,cap_api
I want to know the exact dollar figure the plan sent to the pharmacy for claim 201533994612000 seq 004.,reimbursement_info,cap_api
What is the ingredient cost reimbursement plus dispensing fee paid to the pharmacy on claim 201533994612000 seq 004?,reimbursement_info,cap_api
Did the plan pay the pharmacy MAC rate or a different basis on claim 201533994612000 sequence 004?,reimbursement_info,cap_api
Fetch the reimbursement details including pricing methodology for claim 201533994612000 seq 004.,reimbursement_info,cap_api
Show what amount was transmitted to the dispensing location for claim 201533994612000 seq 004.,reimbursement_info,cap_api
Is claim 201533994612000 seq 004's pharmacy reimbursement based on a network MAC list or AWP-based formula?,reimbursement_info,cap_api
Reject code list for claim 201533994612000 seq 004.,rejection_reasons,cap_api
I need to figure out why claim 201533994612000 seq 004 got denied and what I can do to fix it.,rejection_reasons,cap_api
What override options exist to resolve the denial on claim 201533994612000 sequence 004?,rejection_reasons,cap_api
Why couldn't this medication be processed at adjudication for claim 201533994612000 seq 004?,rejection_reasons,cap_api
Show me the specific NCPDP 511 transaction reject codes for claim 201533994612000 seq 004.,rejection_reasons,cap_api
Why was claim 201533994612000 sequence 004 not adjudicated successfully?,rejection_reasons,cap_api
Show modification history and any R&R transactions for claim 201533994612000 seq 004.,reversal_info,cap_api
Has claim 201533994612000 sequence 004 been modified after original adjudication?,reversal_info,cap_api
Any post-adjudication modification activity on claim 201533994612000 sequence 004?,reversal_info,cap_api
I need the prescription number and whether this is an original fill or a refill on claim 201533994612000 seq 004.,rx_details,cap_api
How many days worth of medication was dispensed on claim 201533994612000 sequence 004?,rx_details,cap_api
Fetch the fill number for claim 201533994612000 seq 004 — is this fill 1 or a subsequent refill?,rx_details,cap_api
RX number? Claim 201533994612000 seq 004.,rx_details,cap_api
Show the fill details including RX number and refill count for claim 201533994612000 seq 004.,rx_details,cap_api
What fill number is claim 201533994612000 sequence 004 — original or which refill iteration?,rx_details,cap_api
"Show me the NDC, quantity, and days supply recorded on claim 201533994612000 seq 004.",rx_details,cap_api
I want to confirm the supply duration — how many days supply is on claim 201533994612000 seq 004?,rx_details,cap_api
Was this a 30-day or 90-day supply? Check claim 201533994612000 seq 004.,rx_details,cap_api
RX fill count and days supply for this prescription — claim 201533994612000 seq 004.,rx_details,cap_api
What is the drug strength and fill number recorded in the claim record for claim 201533994612000 seq 004?,rx_details,cap_api
What settlement codes were transmitted back to the pharmacy for claim 201533994612000 sequence 004?,settlement_info,cap_api
Pharmacy response codes — claim 201533994612000 seq 004.,settlement_info,cap_api
Show the NCPDP transaction response fields sent back to the pharmacy for claim 201533994612000 seq 004.,settlement_info,cap_api
What settlement response did the pharmacy receive when claim 201533994612000 seq 004 adjudicated?,settlement_info,cap_api
Settlement codes and PBM message for claim 201533994612000 sequence 004.,settlement_info,cap_api
Pull the pharmacy-facing response code for claim 201533994612000 sequence 004.,settlement_info,cap_api
What was sent in the 835 settlement to the pharmacy on claim 201533994612000 seq 004?,settlement_info,cap_api
Show the complete set of codes the PBM transmitted to the pharmacy upon claim adjudication for claim 201533994612000 seq 004.,settlement_info,cap_api
I'm looking for the pharmacy settlement feedback — what codes and messages were returned on claim 201533994612000 seq 004?,settlement_info,cap_api
Retrieve the outbound NCPDP response segment sent to the pharmacy for claim 201533994612000 seq 004.,settlement_info,cap_api
What pharmacy response code is stored on claim 201533994612000 sequence 004?,settlement_info,cap_api
Show the PBM-to-pharmacy settlement message including any additional info codes for claim 201533994612000 seq 004.,settlement_info,cap_api
Settlement codes plus any informational messages sent downstream to the dispensing pharmacy on claim 201533994612000 seq 004.,settlement_info,cap_api
What response codes are stored in the settlement fields of claim 201533994612000 sequence 004?,settlement_info,cap_api
Give me the settlement summary — codes sent from PBM to pharmacy — for claim 201533994612000 seq 004.,settlement_info,cap_api
What NCPDP response codes and additional messages were included in the settlement for claim 201533994612000 seq 004?,settlement_info,cap_api
