prompt,expected_domain,expected_intent
What generic equivalents are on the formulary on claim 201533994612000 seq 004?,cap_api,generic_availability
Tell me the program classification for claim 201533994612000 seq 004 claim.,cap_api,government_claim_type
What program type was claim 201533994612000 seq 004 processed under?,cap_api,government_claim_type
Is this a home delivery or retail fill on claim 201533994612000 seq 004?,cap_api,mail_order_info
Is this a mail-order pharmacy fill or a walk-in on claim 201533994612000 seq 004?,cap_api,mail_order_info
Did this come from a mail service pharmacy on claim 201533994612000 seq 004?,cap_api,mail_order_info
Was this filled at a mail-service or specialty pharmacy on claim 201533994612000 seq 004?,cap_api,mail_order_info
What is the LICS tier pricing on claim 201533994612000 seq 004 specific claim?,cap_api,pricing_info
CMS pricing fields on claim 201533994612000 seq 004.,cap_api,pricing_info
Was the catastrophic coverage phase reached on claim 201533994612000 seq 004?,cap_api,medicare_part_d
Is there a Smart PA attached to claim 201533994612000 seq 004?,cap_api,prior_auth_info
Was a member PA or plan PA used on claim 201533994612000 seq 004?,cap_api,prior_auth_info
What authorization was checked when processing claim 201533994612000 seq 004?,cap_api,prior_auth_info
Compound drug ingredient list and costs across claims — claim 201533994612000 seq 004.,cap_api,compound_info
Dispensing dates for all prescriptions on file — claim 201533994612000 seq 004.,cap_api,fill_date_info
Fill date timeline for claim 201533994612000 seq 004 member's prescriptions.,cap_api,fill_date_info
Are there any prescriptions eligible for refill for the member with claim 201533994612000?,claim_history_search,Refills
Filter by response code 400 across all fills for the member with claim 201533994612000.,claim_history_search,Settlement
Pull claims by adjudication status for the member with claim 201533994612000.,claim_history_search,Status
Pull up claim 201533994612000.,claim_history_search,ClaimNum
I need to know if Smart PA or Member PA was applied during approval of claim 201533994612000 sequence 004.,cap_api,approval_info
"Generate a TF summary for claim 201533994612000 sequence 004, specifically the transition fill type and whether accumulations were considered.",cap_api,approval_info
Did claim 201533994612000 seq 004 go through a Smart PA approval? Show me the override logic.,cap_api,approval_info
Was a member PA or plan PA applied to claim 201533994612000 sequence 004 during adjudication?,cap_api,approval_info
Display the BPG override and Smart PA configuration used on claim 201533994612000 sequence 004.,cap_api,approval_info
Show the beneficiary accumulation totals and coverage tier for claim 201533994612000 seq 004.,cap_api,beneficiary_info
Benefit phase and LOE linkage for claim 201533994612000 sequence 004 — show the full beneficiary details.,cap_api,beneficiary_info
Provide the accumulator totals and benefit phase progression for claim 201533994612000 seq 004.,cap_api,beneficiary_info
Display the accumulator summary and benefit phase for claim 201533994612000 seq 004.,cap_api,beneficiary_info
Retrieve the benefit eligibility and phase information for the member on claim 201533994612000 sequence 004.,cap_api,beneficiary_info
Show benefit phase and linked levels of evidence for claim 201533994612000 seq 004.,cap_api,beneficiary_info
What is the member's TrOOP and benefit accumulation status for claim 201533994612000 seq 004?,cap_api,beneficiary_info
"Generate the beneficiary coverage summary including benefit phase, LOE, and accumulator totals for claim 201533994612000 sequence 004.",cap_api,beneficiary_info
"What is the overall adjudication status of claim 201533994612000 sequence 004 — paid, rejected, or pending?",cap_api,claim_status
Provide a full claim summary for claim 201533994612000 seq 004.,cap_api,claim_status
What happened on claim 201533994612000 seq 004? I need the complete claim record.,cap_api,claim_status
Claim status for 201533994612000 seq 004 — was it paid or rejected?,cap_api,claim_status
Retrieve the comprehensive summary and adjudication outcome for claim 201533994612000 sequence 004.,cap_api,claim_status
Tell me everything that happened on claim 201533994612000 seq 004.,cap_api,claim_status
Display the full adjudication details and status for claim 201533994612000 sequence 004.,cap_api,claim_status
I need a breakdown of claim 201533994612000 sequence 004 — what is its current state?,cap_api,claim_status
Show claim summary for 201533994612000 seq 004.,cap_api,claim_status
"General claim summary for 201533994612000 seq 004 — paid, reversed, or something else?",cap_api,claim_status
Show the status update and processing result for claim 201533994612000 sequence 004.,cap_api,claim_status
Generate a comprehensive status report for claim 201533994612000 seq 004.,cap_api,claim_status
Give me the complete adjudication details and overall status summary for claim 201533994612000 seq 004.,cap_api,claim_status
How did another insurer affect the pricing on claim 201533994612000 seq 004?,cap_api,cob_info
Show me the MIC ingredient costs on claim 201533994612000 seq 004,cap_api,compound_info
What were the funded ingredient costs versus the unfunded ones on claim 201533994612000 sequence 004?,cap_api,compound_info
MIC breakdown for claim 201533994612000 seq 004 — how much was covered per ingredient?,cap_api,compound_info
Provide the compounded drug formulation and ingredient-level pricing for claim 201533994612000 sequence 004,cap_api,compound_info
I want to understand the ingredient cost split on that compound claim — 201533994612000 seq 004,cap_api,compound_info
Which of the ingredients in claim 201533994612000 seq 004 were not covered by the benefit?,cap_api,compound_info
Detail the compounded formulation submitted under claim 201533994612000 sequence 004 — including each active ingredient and its cost,cap_api,compound_info
I need the MIC data for every ingredient on claim 201533994612000 seq 004,cap_api,compound_info
Compound claim 201533994612000 seq 004 — give me the full ingredient breakdown with costs,cap_api,compound_info
I see claim 201533994612000 seq 004 is flagged as a compound. What are the ingredient details and their individual costs?,cap_api,compound_info
I need to know whether the prescriber required brand-name dispensing on claim 201533994612000 sequence 004,cap_api,daw_info
"On claim 201533994612000 sequence 004, was the brand drug dispensed because the physician mandated it or the member requested it?",cap_api,daw_info
Explain why a brand drug was dispensed instead of generic for claim 201533994612000 seq 004,cap_api,daw_info
"I need the dispense-as-written detail for claim 201533994612000 seq 004, including whether it was physician-initiated or patient-requested",cap_api,daw_info
Give me the NDC for claim 201533994612000 seq 004,cap_api,drug_info
drug info claim 201533994612000 sequence 004,cap_api,drug_info
What's the GPI code on claim 201533994612000 sequence 004?,cap_api,drug_info
NDC and formulary tier for claim 201533994612000 seq 004?,cap_api,drug_info
What drug was used in claim 201533994612000 seq 004 and is it considered a specialty medication?,cap_api,drug_info
What date was claim 201533994612000 sequence 004 filled?,cap_api,fill_date_info
Give me the service date for claim 201533994612000 seq 004,cap_api,fill_date_info
On what date was claim 201533994612000 seq 004 adjudicated at the pharmacy?,cap_api,fill_date_info
What is the prescription fill date shown on claim 201533994612000 seq 004?,cap_api,fill_date_info
Dispensing date for claim 201533994612000 sequence 004?,cap_api,fill_date_info
Retrieve the fill date and service date for claim 201533994612000 seq 004,cap_api,fill_date_info
When exactly was claim 201533994612000 sequence 004 filled at the pharmacy — I need the exact date,cap_api,fill_date_info
What date of service is recorded for claim 201533994612000 seq 004?,cap_api,fill_date_info
I need to know the dispensing date on claim 201533994612000 seq 004 to verify timeline,cap_api,fill_date_info
What was the date claim 201533994612000 seq 004 was processed and dispensed?,cap_api,fill_date_info
Service date / fill date for claim 201533994612000 seq 004 please,cap_api,fill_date_info
"On claim 201533994612000 sequence 004, I need to verify the prescription fill date for coordination of benefits purposes",cap_api,fill_date_info
Confirm the dispensing date and date of service on claim 201533994612000 seq 004,cap_api,fill_date_info
Are there any generic alternatives available for the drug on claim 201533994612000 sequence 004?,cap_api,generic_availability
What therapeutic equivalents exist for the medication billed under claim 201533994612000 seq 004?,cap_api,generic_availability
I need to know if a formulary-approved substitute is available for claim 201533994612000 sequence 004,cap_api,generic_availability
Generic sub options for NDC on claim 201533994612000 seq 004?,cap_api,generic_availability
Can you tell me whether the drug dispensed on claim 201533994612000 seq 004 has a generic equivalent covered under the formulary?,cap_api,generic_availability
Is the brand drug on claim 201533994612000 sequence 004 substitutable with a lower-cost generic?,cap_api,generic_availability
DAW code and generic availability — claim 201533994612000 sequence 004,cap_api,generic_availability
Pull up any approved formulary substitutes for the medication in claim 201533994612000 seq 004,cap_api,generic_availability
Is claim 201533994612000 sequence 004 dispensed as a brand when a generic is on formulary?,cap_api,generic_availability
Therapeutic equivalent availability for the NDC on claim 201533994612000 seq 004,cap_api,generic_availability
What is the generic status of the drug on claim 201533994612000 seq 004 — multi-source or single-source brand?,cap_api,generic_availability
Is there a formulary-preferred generic that could replace the brand drug billed on claim 201533994612000 sequence 004?,cap_api,generic_availability
Are generic options or therapeutic interchanges listed for claim 201533994612000 sequence 004?,cap_api,generic_availability
I want to check DAW and generic availability flags for claim 201533994612000 sequence 004,cap_api,generic_availability
Lookup: does the drug on claim 201533994612000 seq 004 have a BPG or generic interchange?,cap_api,generic_availability
Confirm whether a covered generic substitute exists for the product on claim 201533994612000 seq 004,cap_api,generic_availability
Show me the generic availability information tied to claim 201533994612000 sequence 004 — brand vs generic status and any alternatives on formulary,cap_api,generic_availability
Is this claim Part D or Medicaid — claim 201533994612000 sequence 004?,cap_api,government_claim_type
I need to know if claim 201533994612000 seq 004 is a Medicare Part D claim or a commercial claim,cap_api,government_claim_type
The patient mentions Medicare coverage — is claim 201533994612000 seq 004 a Part D or Part B claim?,cap_api,government_claim_type
PDE government claim type lookup for claim 201533994612000 sequence 004,cap_api,government_claim_type
Was claim 201533994612000 sequence 004 filled at a mail order pharmacy or retail?,cap_api,mail_order_info
What delivery channel was used for claim 201533994612000 sequence 004 — mail or retail?,cap_api,mail_order_info
Mail order or retail? Claim 201533994612000 seq 004,cap_api,mail_order_info
Provide the dispensing channel information for claim 201533994612000 sequence 004,cap_api,mail_order_info
Check if claim 201533994612000 sequence 004 is flagged as a mail service or specialty mail claim,cap_api,mail_order_info
Dispensing channel and NCPDP pharmacy type for claim 201533994612000 seq 004,cap_api,mail_order_info
"Show the pharmacy dispensing type for claim 201533994612000 sequence 004 — retail, mail, or specialty",cap_api,mail_order_info
The member says they received this by mail — verify the delivery channel on claim 201533994612000 seq 004,cap_api,mail_order_info
Mail order indicator on claim 201533994612000 sequence 004?,cap_api,mail_order_info
Is claim 201533994612000 seq 004 associated with a home delivery or a walk-in pharmacy fill?,cap_api,mail_order_info
Retrieve mail service status and shipping information for claim 201533994612000 sequence 004,cap_api,mail_order_info
Was claim 201533994612000 seq 004 filled through the specialty mail channel or a retail outlet?,cap_api,mail_order_info
I want to confirm the dispensing method — mail vs retail — for claim 201533994612000 seq 004,cap_api,mail_order_info
What NCPDP pharmacy type and dispensing channel are on claim 201533994612000 sequence 004?,cap_api,mail_order_info
MEDD pricing and LICS tier for claim 201533994612000 sequence 004,cap_api,medicare_part_d
N1 amounts on claim 201533994612000 seq 004?,cap_api,medicare_part_d
What is the LICS level applied to claim 201533994612000 seq 004?,cap_api,medicare_part_d
Is claim 201533994612000 seq 004 in the coverage gap phase or catastrophic phase under Part D?,cap_api,medicare_part_d
Part D low-income cost-sharing subsidy applied to claim 201533994612000 sequence 004?,cap_api,medicare_part_d
Confirm the Medicare Part D N1 patient pay amount on claim 201533994612000 seq 004,cap_api,medicare_part_d
How many total claims has this member submitted in the last 12 months on claim 201533994612000 seq 004?,cap_api,multi_claim_summary
Give me a summary of all prescriptions filled by the member with claim 201533994612000 seq 004 this year,cap_api,multi_claim_summary
Pull every claim on file for the member with claim 201533994612000 seq 004 and summarize the total cost,cap_api,multi_claim_summary
What is the total number of claims and overall spend for claim 201533994612000 seq 004 member across all their prescriptions?,cap_api,multi_claim_summary
I need a multi-claim summary — all fills for the member with claim 201533994612000 seq 004 from January through June,cap_api,multi_claim_summary
"Summarize the entire claim history for claim 201533994612000 seq 004 member, including all drugs, dates, and costs",cap_api,multi_claim_summary
How many claims did the member with claim 201533994612000 seq 004 have this quarter and what was the total member pay?,cap_api,multi_claim_summary
"Show all prescription claims on record for claim 201533994612000 seq 004 member — not a single claim, the whole list",cap_api,multi_claim_summary
Full claim count and summary for the member with claim 201533994612000 seq 004 over the past six months,cap_api,multi_claim_summary
Can you aggregate all claims for claim 201533994612000 seq 004 member and show me the breakdown by drug?,cap_api,multi_claim_summary
Retrieve the complete claims list for the member with claim 201533994612000 seq 004 and tell me the most recent fills,cap_api,multi_claim_summary
"Member's entire claim history — all claims, not just one — for the current benefit year — claim 201533994612000 seq 004",cap_api,multi_claim_summary
How many pharmacy claims does this member have on file and what do they total in cost on claim 201533994612000 seq 004?,cap_api,multi_claim_summary
Give me an overview of all claims submitted for the member with claim 201533994612000 seq 004 since plan inception,cap_api,multi_claim_summary
What is the total claim volume for the member with claim 201533994612000 seq 004 and which drugs appear most frequently?,cap_api,multi_claim_summary
Pull all claims for claim 201533994612000 seq 004 member and give me a summary of their prescription utilization pattern over the past year,cap_api,multi_claim_summary
"For claim 201533994612000 seq 004, tell me which CVS network tier the dispensing pharmacy fell under.",cap_api,network_info
Was claim 201533994612000 sequence 004 routed through a retail network or a specialty pharmacy network?,cap_api,network_info
What pharmacy dispensed claim 201533994612000 sequence 004?,cap_api,pharmacy_info
I need the store address and name of the pharmacy that filled claim 201533994612000 sequence 004.,cap_api,pharmacy_info
Pharmacy name? Claim 201533994612000 seq 004.,cap_api,pharmacy_info
"Retrieve the dispensing pharmacy details — NCPDP, store number, and location — for claim 201533994612000 sequence 004.",cap_api,pharmacy_info
Which CVS store filled the prescription on claim 201533994612000 seq 004 and what is its address?,cap_api,pharmacy_info
"Give me the filling pharmacy information for claim 201533994612000 seq 004, including chain name and ZIP code.",cap_api,pharmacy_info
Display the dispensing location that processed claim 201533994612000 seq 004 — was it a retail store or mail-order facility?,cap_api,pharmacy_info
Fetch the pharmacy name and chain code recorded on claim 201533994612000 sequence 004.,cap_api,pharmacy_info
Show me the pharmacy NPI and NCPDP provider ID attached to claim 201533994612000 seq 004.,cap_api,pharmacy_info
I'd like to know which pharmacy dispensed the medication on claim 201533994612000 sequence 004 and whether it's a specialty pharmacy.,cap_api,pharmacy_info
Where was claim 201533994612000 sequence 004 filled — give me the complete pharmacy address.,cap_api,pharmacy_info
Can you look up the pharmacy store information tied to claim 201533994612000 sequence 004? I need the NCPDP and street address.,cap_api,pharmacy_info
Which pharmacy chain and store number appears on claim 201533994612000 seq 004?,cap_api,pharmacy_info
"For claim 201533994612000 seq 004, I need to verify which pharmacy location processed the fill — provide the full store details.",cap_api,pharmacy_info
Provide the NPI number of the prescribing physician on claim 201533994612000 seq 004.,cap_api,prescriber_info
I need the doctor's name and credentials who wrote the script for claim 201533994612000 sequence 004.,cap_api,prescriber_info
Prescriber NPI? Claim 201533994612000 seq 004.,cap_api,prescriber_info
"Retrieve the ordering provider details — name, NPI, and DEA — for claim 201533994612000 sequence 004.",cap_api,prescriber_info
Tell me which physician wrote the prescription on claim 201533994612000 seq 004 and what their specialty is.,cap_api,prescriber_info
"Display the prescriber information recorded on claim 201533994612000 sequence 004, including the doctor's address.",cap_api,prescriber_info
Give me the prescribing provider's NPI and full name from claim 201533994612000 seq 004.,cap_api,prescriber_info
Who wrote the Rx for claim 201533994612000 sequence 004?,cap_api,prescriber_info
"Show me the ordering provider's NPI, name, and license type on claim 201533994612000 sequence 004.",cap_api,prescriber_info
I want to verify which doctor ordered the medication on claim 201533994612000 seq 004 — please include their NPI.,cap_api,prescriber_info
"Generate a prescriber summary for claim 201533994612000 sequence 004, including name, NPI, and prescriber type.",cap_api,prescriber_info
Prescriber name and DEA on claim 201533994612000 seq 004.,cap_api,prescriber_info
What are the provider credentials for the physician who prescribed the drug on claim 201533994612000 sequence 004?,cap_api,prescriber_info
Pull the prescriber NPI and mailing address from the claim record for 201533994612000 seq 004.,cap_api,prescriber_info
Show the prescribing physician recorded on claim 201533994612000 seq 004 — is it a MD or DO?,cap_api,prescriber_info
"Retrieve ordering provider information, including NPI and practice address, for claim 201533994612000 sequence 004.",cap_api,prescriber_info
Which provider NPI is on claim 201533994612000 seq 004 and what is that prescriber's name?,cap_api,prescriber_info
Provide the ingredient cost and dispensing fee breakdown for claim 201533994612000 seq 004.,cap_api,pricing_info
I need the copay and total cost details for claim 201533994612000 sequence 004.,cap_api,pricing_info
Copay amount? Claim 201533994612000 seq 004.,cap_api,pricing_info
Retrieve the pricing schedule and final out-of-pocket amount on claim 201533994612000 sequence 004.,cap_api,pricing_info
"Show me the full pricing breakdown — AWP, ingredient cost, dispensing fee, and member liability — for claim 201533994612000 seq 004.",cap_api,pricing_info
Display the co-pay modifier and its effect on the patient-pay amount for claim 201533994612000 sequence 004.,cap_api,pricing_info
Give me the total charge and what the member owed on claim 201533994612000 seq 004.,cap_api,pricing_info
"How much did the member pay for claim 201533994612000 sequence 004, including any coinsurance?",cap_api,pricing_info
Fetch the MAC pricing or U&C price applied on claim 201533994612000 seq 004 and the final patient contribution.,cap_api,pricing_info
What pricing schedule was used for claim 201533994612000 sequence 004 and what was the resulting member cost-share?,cap_api,pricing_info
"Ingredient cost, dispensing fee, and member pay for claim 201533994612000 seq 004.",cap_api,pricing_info
"I want a complete pricing summary for claim 201533994612000 sequence 004, including plan-paid amount and patient responsibility.",cap_api,pricing_info
"Generate a cost breakdown for claim 201533994612000 seq 004 — show ingredient cost, dispensing fee, and OOP.",cap_api,pricing_info
Show the negotiated price and the split between plan and member for claim 201533994612000 seq 004.,cap_api,pricing_info
"Retrieve the BPG-driven pricing components on claim 201533994612000 sequence 004 — I need ingredient cost, fees, and copay.",cap_api,pricing_info
"Display the full pricing detail including plan-paid, patient-paid, and dispensing fee for claim 201533994612000 seq 004.",cap_api,pricing_info
Was prior authorization required for claim 201533994612000 sequence 004?,cap_api,prior_auth_info
Provide the PA number and approval status recorded on claim 201533994612000 seq 004.,cap_api,prior_auth_info
I need to know what type of prior auth was attached to claim 201533994612000 sequence 004 — Smart PA or Member PA?,cap_api,prior_auth_info
PA status? Claim 201533994612000 seq 004.,cap_api,prior_auth_info
"Retrieve the prior authorization details — PA number, type, and approved/denied status — for claim 201533994612000 sequence 004.",cap_api,prior_auth_info
Show whether Smart PA was applied on claim 201533994612000 seq 004 and what the authorization outcome was.,cap_api,prior_auth_info
Display the Member PA information embedded in claim 201533994612000 sequence 004.,cap_api,prior_auth_info
"Give me the prior auth fields from claim 201533994612000 seq 004, including the PA reference number.",cap_api,prior_auth_info
Is the PA on claim 201533994612000 sequence 004 showing approved or denied?,cap_api,prior_auth_info
Fetch the authorization type and PA number from claim 201533994612000 seq 004.,cap_api,prior_auth_info
What authorization was checked when claim 201533994612000 sequence 004 was processed — was a PA on file?,cap_api,prior_auth_info
PA details for claim 201533994612000 seq 004.,cap_api,prior_auth_info
"I want to verify whether a prior authorization was present on claim 201533994612000 sequence 004 and if so, whether it was a plan PA or member PA.",cap_api,prior_auth_info
"Generate the prior authorization report for claim 201533994612000 seq 004, including auth number, effective dates, and approval status.",cap_api,prior_auth_info
What PA type is recorded on claim 201533994612000 sequence 004 and was it approved prior to dispensing?,cap_api,prior_auth_info
Pull prior auth status and number for claim 201533994612000 seq 004.,cap_api,prior_auth_info
"For claim 201533994612000 sequence 004, did a Smart PA override or a Member PA govern the adjudication, and what was the result?",cap_api,prior_auth_info
Show the PA fields on claim 201533994612000 seq 004 — specifically the authorization type code and denial reason if applicable.,cap_api,prior_auth_info
Retrieve prior authorization status and approval details for claim 201533994612000 sequence 004.,cap_api,prior_auth_info
"Was a member PA or plan PA used on claim 201533994612000 seq 004, and is the PA currently active?",cap_api,prior_auth_info
Provide the pharmacy payment rationale for claim 201533994612000 sequence 004.,cap_api,reimbursement_info
How was the ingredient cost reimbursement calculated for claim 201533994612000 seq 004?,cap_api,reimbursement_info
Give me the net payment to the pharmacy after all adjustments on claim 201533994612000 seq 004.,cap_api,reimbursement_info
Show the plan's reimbursement formula output for claim 201533994612000 seq 004 specific prescription claim.,cap_api,reimbursement_info
What was the U&C versus the reimbursed amount for the pharmacy on claim 201533994612000 seq 004?,cap_api,reimbursement_info
I want to know the exact dollar figure the plan sent to the pharmacy for claim 201533994612000 seq 004.,cap_api,reimbursement_info
What is the ingredient cost reimbursement plus dispensing fee paid to the pharmacy on claim 201533994612000 seq 004?,cap_api,reimbursement_info
Did the plan pay the pharmacy MAC rate or a different basis on claim 201533994612000 sequence 004?,cap_api,reimbursement_info
Fetch the reimbursement details including pricing methodology for claim 201533994612000 seq 004.,cap_api,reimbursement_info
Show what amount was transmitted to the dispensing location for claim 201533994612000 seq 004.,cap_api,reimbursement_info
Is claim 201533994612000 seq 004's pharmacy reimbursement based on a network MAC list or AWP-based formula?,cap_api,reimbursement_info
Reject code list for claim 201533994612000 seq 004.,cap_api,rejection_reasons
I need to figure out why claim 201533994612000 seq 004 got denied and what I can do to fix it.,cap_api,rejection_reasons
What override options exist to resolve the denial on claim 201533994612000 sequence 004?,cap_api,rejection_reasons
Why couldn't this medication be processed at adjudication for claim 201533994612000 seq 004?,cap_api,rejection_reasons
Show me the specific NCPDP 511 transaction reject codes for claim 201533994612000 seq 004.,cap_api,rejection_reasons
Why was claim 201533994612000 sequence 004 not adjudicated successfully?,cap_api,rejection_reasons
Show modification history and any R&R transactions for claim 201533994612000 seq 004.,cap_api,reversal_info
Has claim 201533994612000 sequence 004 been modified after original adjudication?,cap_api,reversal_info
Any post-adjudication modification activity on claim 201533994612000 sequence 004?,cap_api,reversal_info
I need the prescription number and whether this is an original fill or a refill on claim 201533994612000 seq 004.,cap_api,rx_details
How many days worth of medication was dispensed on claim 201533994612000 sequence 004?,cap_api,rx_details
Fetch the fill number for claim 201533994612000 seq 004 — is this fill 1 or a subsequent refill?,cap_api,rx_details
RX number? Claim 201533994612000 seq 004.,cap_api,rx_details
Show the fill details including RX number and refill count for claim 201533994612000 seq 004.,cap_api,rx_details
What fill number is claim 201533994612000 sequence 004 — original or which refill iteration?,cap_api,rx_details
"Show me the NDC, quantity, and days supply recorded on claim 201533994612000 seq 004.",cap_api,rx_details
I want to confirm the supply duration — how many days supply is on claim 201533994612000 seq 004?,cap_api,rx_details
Was this a 30-day or 90-day supply? Check claim 201533994612000 seq 004.,cap_api,rx_details
RX fill count and days supply for this prescription — claim 201533994612000 seq 004.,cap_api,rx_details
What is the drug strength and fill number recorded in the claim record for claim 201533994612000 seq 004?,cap_api,rx_details
What settlement codes were transmitted back to the pharmacy for claim 201533994612000 sequence 004?,cap_api,settlement_info
Pharmacy response codes — claim 201533994612000 seq 004.,cap_api,settlement_info
Show the NCPDP transaction response fields sent back to the pharmacy for claim 201533994612000 seq 004.,cap_api,settlement_info
What settlement response did the pharmacy receive when claim 201533994612000 seq 004 adjudicated?,cap_api,settlement_info
Settlement codes and PBM message for claim 201533994612000 sequence 004.,cap_api,settlement_info
Pull the pharmacy-facing response code for claim 201533994612000 sequence 004.,cap_api,settlement_info
What was sent in the 835 settlement to the pharmacy on claim 201533994612000 seq 004?,cap_api,settlement_info
Show the complete set of codes the PBM transmitted to the pharmacy upon claim adjudication for claim 201533994612000 seq 004.,cap_api,settlement_info
I'm looking for the pharmacy settlement feedback — what codes and messages were returned on claim 201533994612000 seq 004?,cap_api,settlement_info
Retrieve the outbound NCPDP response segment sent to the pharmacy for claim 201533994612000 seq 004.,cap_api,settlement_info
What pharmacy response code is stored on claim 201533994612000 sequence 004?,cap_api,settlement_info
Show the PBM-to-pharmacy settlement message including any additional info codes for claim 201533994612000 seq 004.,cap_api,settlement_info
Settlement codes plus any informational messages sent downstream to the dispensing pharmacy on claim 201533994612000 seq 004.,cap_api,settlement_info
What response codes are stored in the settlement fields of claim 201533994612000 sequence 004?,cap_api,settlement_info
Give me the settlement summary — codes sent from PBM to pharmacy — for claim 201533994612000 seq 004.,cap_api,settlement_info
What NCPDP response codes and additional messages were included in the settlement for claim 201533994612000 seq 004?,cap_api,settlement_info
