text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match
Is claim 132435151040074 sequence 001 a transition fill?,approval_info,approval_info,True,benefits_api,benefits_api,True
Transition fill details for claim 150692388845000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
Was a TF applied to claim 160060096136030 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True
Check if transition fill was triggered for claim 180571470939000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
What type of transition fill was applied to claim 191406379285000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True
Claim 201503823714118 sequence 001 TF eligibility status.,approval_info,approval_info,True,benefits_api,benefits_api,True
Transition fill configuration for claim 201752592251000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
Did this member qualify for transition fill on claim 201990819198000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True
TF override details for claim 211263773300000 sequence 004.,approval_info,approval_info,True,benefits_api,benefits_api,True
What plan configuration overrides affected claim 220133725669000 sequence 001?,approval_info,approval_info,True,benefits_api,benefits_api,True
Adjudication pathway for claim 220992183436835 sequence 002.,approval_info,approval_info,True,benefits_api,benefits_api,True
Transition fill approval information for claim 221172865083001 sequence 001.,approval_info,approval_info,True,benefits_api,claim_history_search,False
Was claim 221663541811000 sequence 001 processed under a TF exception?,approval_info,approval_info,True,benefits_api,benefits_api,True
Claim 221775171449000 sequence 003: transition fill type and eligibility.,approval_info,approval_info,True,benefits_api,benefits_api,True
Show TF status for claim 222492018072002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
List all plan overrides on claim 222492117457002 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
Check transition fill override details for claim 230381673488000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
TF type applied to claim 230624075311000 sequence 002.,approval_info,approval_info,True,benefits_api,claim_history_search,False
Plan configuration that affected TF on claim 231181462825000 sequence 001.,approval_info,approval_info,True,benefits_api,benefits_api,True
What is the audit trail for claim 130041467416065 sequence 001?,audit_info,audit_info,True,benefits_api,benefits_api,True
When was claim 132435151040074 sequence 001 first created?,audit_info,claim_status,False,benefits_api,benefits_api,True
Audit log for claim 150692388845000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
Show the change history of claim 160060096136030 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
What modifications were made to claim 180571470939000 sequence 001?,reversal_info,approval_info,False,cap_api,benefits_api,False
When was claim 191406379285000 sequence 001 last updated?,claim_status,claim_status,True,cap_api,benefits_api,False
Claim 201503823714118 sequence 001 add date and change date.,fill_date_info,audit_info,False,claim_history_search,benefits_api,False
Who last modified claim 201752592251000 sequence 001 and when?,audit_info,audit_info,True,benefits_api,benefits_api,True
List all audit entries for claim 201990819198000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
What is the creation timestamp of claim 211263773300000 sequence 004?,audit_info,claim_status,False,benefits_api,benefits_api,True
Modification record for claim 220133725669000 sequence 001.,audit_info,reversal_info,False,benefits_api,benefits_api,True
Claim 220992183436835 sequence 002: edit history and change log.,audit_info,audit_info,True,benefits_api,benefits_api,True
When was claim 221172865083001 sequence 001 added to the system?,audit_info,claim_status,False,benefits_api,benefits_api,True
Full audit report for claim 221663541811000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
What is the audit add time for claim 221775171449000 sequence 003?,audit_info,audit_info,True,benefits_api,benefits_api,True
History of changes on claim 222492018072002 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
Claim 222492117457002 sequence 001 audit summary.,audit_info,audit_info,True,benefits_api,benefits_api,True
Audit information including add date and change date for claim 230381673488000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
Show the modification details for claim 230624075311000 sequence 002.,audit_info,audit_info,True,benefits_api,benefits_api,True
Claim audit record for 231181462825000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
What is the member's benefit phase for claim 130041467416065 sequence 001?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Member coverage details for claim 150692388845000 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Benefit type and coverage tier for claim 180571470939000 sequence 001.,beneficiary_info,government_claim_type,False,benefits_api,benefits_api,True
Is the member eligible for benefits on claim 191406379285000 sequence 001?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
What benefit phase is the member in for claim 201503823714118 sequence 001?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Member plan details for claim 201752592251000 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Accumulation status for the member on claim 201990819198000 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Does medical dollar accumulation apply to claim 211263773300000 sequence 004?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Member's coverage classification for claim 220992183436835 sequence 002.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Claim 221663541811000 sequence 001: member's insurance coverage type.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Member eligibility information for claim 222492018072002 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
What plan is the member enrolled in for claim 222492117457002 sequence 001?,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Benefit plan configuration for claim 230381673488000 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Member accumulation rules for claim 230624075311000 sequence 002.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
Coverage details and benefit phase for claim 231181462825000 sequence 001.,beneficiary_info,beneficiary_info,True,benefits_api,benefits_api,True
What is the current status of claim 130041467416065 sequence 001?,claim_status,claim_status,True,cap_api,benefits_api,False
Claim summary for 132435151040074 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Full details of claim 150692388845000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
What happened on claim 160060096136030 sequence 001?,claim_status,claim_status,True,cap_api,benefits_api,False
Processing status of claim 180571470939000 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
Adjudication outcome for claim 191406379285000 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
Complete claim record for 201503823714118 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
Breakdown of claim 201752592251000 sequence 001.,claim_status,claim_status,True,cap_api,claim_history_search,False
Status update for claim 201990819198000 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
Comprehensive summary of claim 211263773300000 sequence 004.,approval_info,claim_status,False,benefits_api,claim_history_search,False
"Is claim 220133725669000 sequence 001 paid, rejected, or pending?",claim_status,claim_status,True,cap_api,benefits_api,False
Claim 220992183436835 sequence 002 status and processing details.,claim_status,claim_status,True,cap_api,benefits_api,False
Claim 221663541811000 sequence 001 overview.,claim_status,claim_status,True,cap_api,benefits_api,False
Show the full record for claim 221775171449000 sequence 003.,claim_status,claim_status,True,cap_api,benefits_api,False
Adjudication details for claim 222492018072002 sequence 001.,claim_status,claim_status,True,cap_api,claim_history_search,False
Claim 222492117457002 sequence 001: status and outcome.,claim_status,claim_status,True,cap_api,benefits_api,False
Quick status check on claim 230381673488000 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
What was the result of processing claim 230624075311000 sequence 002?,claim_status,claim_status,True,cap_api,benefits_api,False
Claim details and status for 231181462825000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Does claim 132435151040074 sequence 001 have coordination of benefits?,cob_info,cob_info,True,cap_api,benefits_api,False
COB summary for claim 150692388845000 sequence 001.,cob_info,claim_status,False,cap_api,claim_history_search,False
What other insurance information exists for claim 211263773300000 sequence 004?,cob_info,cob_info,True,cap_api,benefits_api,False
Is there a secondary payer on claim 242055403386000 sequence 001?,cob_info,cob_info,True,cap_api,cap_api,True
Coordination of benefits details for claim 242831720377166 sequence 002.,cob_info,cob_info,True,cap_api,benefits_api,False
COB pricing breakdown for claim 242831738080166 sequence 001.,cob_info,pricing_info,False,cap_api,cap_api,True
How did other insurance affect claim 243102333796000 sequence 003?,cob_info,cob_info,True,cap_api,benefits_api,False
Secondary insurance details for claim 243122443413000 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
COB calculation for claim 252611736720000 sequence 002.,cob_info,cob_info,True,cap_api,cap_api,True
Coordination details for claim 252952886196000 sequence 001.,cob_info,claim_status,False,cap_api,benefits_api,False
Other payer information for claim 253091241600000 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
Dual coverage details for claim 253136857840000 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
COB setup for claim 132435151040074 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
Secondary payer information for claim 150692388845000 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
COB report for claim 211263773300000 sequence 004.,cob_info,cob_info,True,cap_api,benefits_api,False
Impact of other insurance on claim 242055403386000 sequence 001.,cob_info,cob_info,True,cap_api,benefits_api,False
COB adjudication details for claim 242831720377166 sequence 002.,claim_status,claim_status,True,cap_api,benefits_api,False
Primary and secondary insurance breakdown for claim 242831738080166 sequence 001.,cob_info,cob_info,True,cap_api,cap_api,True
COB configuration for claim 243102333796000 sequence 003.,cob_info,cob_info,True,cap_api,benefits_api,False
Coordination pricing summary for claim 243122443413000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Is claim 130041467416065 sequence 001 for a compound medication?,compound_info,drug_info,False,claim_history_search,claim_history_search,True
Compound details for claim 132435151040074 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
What is the compound code on claim 150692388845000 sequence 001?,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Ingredient breakdown for compound claim 160060096136030 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
MIC information for claim 180571470939000 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Compound ingredient costs for claim 191406379285000 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Is this a compounded prescription? Claim 201503823714118 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Funded and unfunded costs for compound claim 201752592251000 sequence 001.,compound_info,pricing_info,False,claim_history_search,claim_history_search,True
Ingredient list for compound claim 201990819198000 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Compound drug details for claim 211263773300000 sequence 004.,compound_info,drug_info,False,claim_history_search,claim_history_search,True
MIC cost breakdown for claim 220133725669000 sequence 001.,cob_info,pricing_info,False,cap_api,claim_history_search,False
Individual ingredient pricing for claim 220992183436835 sequence 002.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Compound formulation details for claim 221172865083001 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Compound medication summary for claim 221663541811000 sequence 001.,compound_info,drug_info,False,claim_history_search,claim_history_search,True
MIC details and ingredient breakdown for claim 221775171449000 sequence 003.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Compound pricing information for claim 222492018072002 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Ingredient cost report for claim 222492117457002 sequence 001.,pricing_info,compound_info,False,cap_api,claim_history_search,False
Compound claim details for 230624075311000 sequence 002.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
MIC summary for claim 231181462825000 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
Claim history for the member on claim 132435151040074 sequence 001.,audit_info,claim_status,False,benefits_api,benefits_api,True
Member's claim history for the drug on claim 220133725669000 sequence 001.,date_range_claims,date_range_claims,True,claim_history_search,claim_history_search,True
Claim list for this year related to 221775171449000 sequence 003.,date_range_claims,date_range_claims,True,claim_history_search,benefits_api,False
Claim history for this member and drug for 222492117457002 sequence 001.,date_range_claims,date_range_claims,True,claim_history_search,claim_history_search,True
Member prescription history for 231181462825000 sequence 001.,date_range_claims,rx_details,False,claim_history_search,claim_history_search,True
Brand vs generic information for claim 191406379285000 sequence 001.,drug_info,daw_info,False,claim_history_search,claim_history_search,True
What drug was dispensed on claim 130041467416065 sequence 001?,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug name and NDC for claim 132435151040074 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Medication details for claim 150692388845000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Formulary status of the drug on claim 160060096136030 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
What is the GPI number for claim 180571470939000 sequence 001?,claim_status,government_claim_type,False,cap_api,claim_history_search,False
Drug classification for claim 191406379285000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug setup used in RxClaim for claim 201503823714118 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug category details for claim 201752592251000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Formulary position for the medication on claim 201990819198000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug type and classification for claim 211263773300000 sequence 004.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
GPI and therapeutic class for claim 220133725669000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug status assigned by RxClaim for claim 220992183436835 sequence 002.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Medication tier information for claim 221172865083001 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug configuration from claim 221663541811000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Formulary report for the drug on claim 221775171449000 sequence 003.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug classification details for claim 222492018072002 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Medication status for claim 222492117457002 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Drug tier and formulary placement for claim 230381673488000 sequence 001.,drug_info,drug_info,True,claim_history_search,claim_history_search,True
Product name and product ID for claim 230624075311000 sequence 002.,rx_details,daw_info,False,cap_api,claim_history_search,False
What medication was prescribed on claim 231181462825000 sequence 001?,drug_info,drug_info,True,claim_history_search,claim_history_search,True
What DUR edits were triggered on claim 191406379285000 sequence 001?,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
Drug utilization review details for claim 201503823714118 sequence 001.,drug_interaction_info,drug_info,False,claim_history_search,claim_history_search,True
DUR outcomes for claim 221663541811000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
Were there any drug interaction alerts on claim 222492018072002 sequence 001?,compound_info,drug_interaction_info,False,claim_history_search,claim_history_search,True
Which DUR edits applied to claim 222492117457002 sequence 001?,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
Drug interaction warnings for claim 240104527633005 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
DUR edit results for claim 241774768475148 sequence 003.,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
Utilization review information for claim 243122443413000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
DUR report for claim 251283241791195 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
Drug interaction outcomes for claim 252045320000000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
Clinical edits triggered on claim 252453396162000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
DUR override details for claim 253361498968006 sequence 017.,drug_interaction_info,approval_info,False,claim_history_search,benefits_api,False
Utilization review results for claim 260054207073000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
Interaction screening outcomes for claim 260682712742000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
DUR edit codes for claim 191406379285000 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,benefits_api,False
Drug utilization details for claim 201503823714118 sequence 001.,drug_interaction_info,drug_info,False,claim_history_search,claim_history_search,True
Interaction alert summary for claim 221663541811000 sequence 001.,drug_interaction_info,approval_info,False,claim_history_search,claim_history_search,True
Clinical screening results for claim 222492018072002 sequence 001.,drug_interaction_info,drug_interaction_info,True,claim_history_search,claim_history_search,True
DUR processing details for claim 222492117457002 sequence 001.,claim_status,approval_info,False,cap_api,benefits_api,False
Drug interaction report for claim 240104527633005 sequence 001.,drug_interaction_info,drug_info,False,claim_history_search,claim_history_search,True
When was claim 130041467416065 sequence 001 filled?,fill_date_info,approval_info,False,claim_history_search,benefits_api,False
Fill date for claim 132435151040074 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
What is the date of service for claim 150692388845000 sequence 001?,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Dispense date for claim 160060096136030 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
When was the medication dispensed on claim 180571470939000 sequence 001?,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Date the prescription was filled for claim 191406379285000 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Fill date details for claim 201503823714118 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,benefits_api,False
Dispensing date for claim 201752592251000 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Date of service for claim 201990819198000 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,benefits_api,False
Fill date information for claim 211263773300000 sequence 004.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
When did the pharmacy fill claim 220133725669000 sequence 001?,pharmacy_info,fill_date_info,False,cap_api,claim_history_search,False
Date the medication was picked up for claim 220992183436835 sequence 002.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Dispensing date for claim 221172865083001 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Fill date and time for claim 221663541811000 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Service date for claim 221775171449000 sequence 003.,fill_date_info,fill_date_info,True,claim_history_search,benefits_api,False
When was claim 222492018072002 sequence 001 dispensed?,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Fill timestamp for claim 222492117457002 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,benefits_api,False
Prescription fill date for claim 230381673488000 sequence 001.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Date of fill for claim 230624075311000 sequence 002.,fill_date_info,fill_date_info,True,claim_history_search,claim_history_search,True
Claim 231181462825000 sequence 001: when was this filled?,fill_date_info,approval_info,False,claim_history_search,benefits_api,False
Are there generic alternatives for the drug on claim 130041467416065 sequence 001?,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Generic substitutes available for claim 132435151040074 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
What generic options exist for claim 160060096136030 sequence 001?,generic_availability,daw_info,False,cap_api,cap_api,True
Alternative medications for claim 180571470939000 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
What generic drugs are available for claim 191406379285000 sequence 001?,generic_availability,drug_info,False,cap_api,claim_history_search,False
Therapeutic alternatives for claim 201503823714118 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Substitute drug list for claim 201752592251000 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Generic availability information for claim 201990819198000 sequence 001.,generic_availability,daw_info,False,cap_api,claim_history_search,False
Alternative medication options for claim 211263773300000 sequence 004.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Formulary alternatives for the drug on claim 220133725669000 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Generic substitutes for claim 220992183436835 sequence 002.,generic_availability,daw_info,False,cap_api,claim_history_search,False
Cheaper drug options for claim 221172865083001 sequence 001.,generic_availability,daw_info,False,cap_api,claim_history_search,False
Available generic medications for claim 221663541811000 sequence 001.,generic_availability,drug_info,False,cap_api,claim_history_search,False
Therapeutic equivalent drugs for claim 222492018072002 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Substitute options for claim 222492117457002 sequence 001.,generic_availability,daw_info,False,cap_api,cap_api,True
Generic alternative details for claim 230381673488000 sequence 001.,generic_availability,daw_info,False,cap_api,cap_api,True
Formulary-approved alternatives for claim 231181462825000 sequence 001.,generic_availability,generic_availability,True,cap_api,claim_history_search,False
Generic medication options for claim 231515053947011 sequence 001.,generic_availability,drug_info,False,cap_api,claim_history_search,False
Substitute drug information for claim 231865207544000 sequence 001.,generic_availability,drug_info,False,cap_api,claim_history_search,False
Hello,out_of_scope,greeting,False,general,general,True
Hi there,greeting,greeting,True,general,general,True
Good morning,greeting,greeting,True,general,general,True
Good afternoon,greeting,greeting,True,general,general,True
Good evening,greeting,greeting,True,general,general,True
Hey,greeting,out_of_scope,False,general,general,True
Greetings,greeting,greeting,True,general,general,True
Hi,greeting,out_of_scope,False,general,general,True
Welcome,out_of_scope,out_of_scope,True,general,general,True
Hello there,greeting,greeting,True,general,general,True
Good day,greeting,greeting,True,general,general,True
Howdy,greeting,greeting,True,general,general,True
Hey there,greeting,out_of_scope,False,general,general,True
What's up,out_of_scope,out_of_scope,True,general,general,True
Morning,greeting,out_of_scope,False,general,general,True
Afternoon,greeting,out_of_scope,False,general,general,True
Evening,greeting,out_of_scope,False,general,general,True
Hiya,out_of_scope,out_of_scope,True,general,general,True
"Hello, how are you?",out_of_scope,greeting,False,general,general,True
"Hi, good to see you",out_of_scope,greeting,False,general,general,True
How do I submit a claim correctly for claim 130041467416065 sequence 001?,rejection_reasons,help,False,cap_api,benefits_api,False
Steps to avoid claim rejection for claim 132435151040074 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Guidance on filing claims like claim 160060096136030 sequence 001.,help,help,True,general,benefits_api,False
Guidelines for avoiding rejections for claim 201990819198000 sequence 001.,rejection_reasons,help,False,cap_api,benefits_api,False
Best practices for claim submission for claim 211263773300000 sequence 004.,out_of_scope,help,False,general,benefits_api,False
Claim submission help for 221663541811000 sequence 001.,claim_status,help,False,cap_api,benefits_api,False
Instructions to prevent denials for claim 221775171449000 sequence 003.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Help for proper claim filing for claim 230624075311000 sequence 002.,help,help,True,general,benefits_api,False
Part D summary for claim 201752592251000 sequence 001.,claim_status,claim_status,True,cap_api,claim_history_search,False
MEDD pricing summary for claim 221663541811000 sequence 001.,pricing_info,medicare_part_d,False,cap_api,claim_history_search,False
Part D pricing breakdown for claim 230624075311000 sequence 002.,pricing_info,medicare_part_d,False,cap_api,claim_history_search,False
All claim records in the system for claim 150692388845000 sequence 001.,multi_claim_summary,date_range_claims,False,cap_api,benefits_api,False
All claim records for claim 222492018072002 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
What is the weather today?,out_of_scope,out_of_scope,True,general,general,True
Tell me a joke.,out_of_scope,out_of_scope,True,general,general,True
Who won the Super Bowl?,out_of_scope,out_of_scope,True,general,general,True
What is the capital of France?,out_of_scope,out_of_scope,True,general,general,True
How do I cook pasta?,out_of_scope,out_of_scope,True,general,general,True
What time is it?,out_of_scope,out_of_scope,True,general,general,True
Who is the president?,out_of_scope,out_of_scope,True,general,general,True
What movies are playing?,out_of_scope,out_of_scope,True,general,general,True
How do I fix my car?,rejection_reasons,out_of_scope,False,cap_api,general,False
What is the stock price of Apple?,out_of_scope,out_of_scope,True,general,general,True
Tell me about history.,multi_claim_summary,out_of_scope,False,cap_api,general,False
What are good restaurants nearby?,out_of_scope,out_of_scope,True,general,general,True
How does gravity work?,out_of_scope,out_of_scope,True,general,general,True
What is the meaning of life?,out_of_scope,out_of_scope,True,general,general,True
Show me sports scores.,out_of_scope,out_of_scope,True,general,general,True
What is machine learning?,out_of_scope,out_of_scope,True,general,general,True
How do I learn Python?,out_of_scope,out_of_scope,True,general,general,True
What books should I read?,out_of_scope,out_of_scope,True,general,general,True
What is the best vacation spot?,out_of_scope,out_of_scope,True,general,general,True
How do I change a tire?,reversal_info,out_of_scope,False,cap_api,general,False
Which pharmacy dispensed claim 130041467416065 sequence 001?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Pharmacy details for claim 132435151040074 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Where was the prescription filled for claim 150692388845000 sequence 001?,pharmacy_info,pharmacy_info,True,cap_api,claim_history_search,False
Dispensing pharmacy for claim 160060096136030 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Pharmacy location information for claim 191406379285000 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Dispensing pharmacy details for claim 201503823714118 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Store location where claim 201752592251000 sequence 001 was filled.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Pharmacy name and address for claim 201990819198000 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Dispensing location for claim 211263773300000 sequence 004.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Where did the member get this prescription? Claim 220133725669000 sequence 001.,pharmacy_info,daw_info,False,cap_api,claim_history_search,False
Dispensing pharmacy location for claim 221172865083001 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Store information for claim 221663541811000 sequence 001.,claim_status,claim_status,True,cap_api,benefits_api,False
Pharmacy report for claim 221775171449000 sequence 003.,pharmacy_info,drug_info,False,cap_api,claim_history_search,False
